type_arrow,layout,type_label,type_color,model,prompt_strategy,mean_mae,mean_similarity
directed,random,label,random_color,qwen-2-vl-72b-instruct,cot,0.6860805860805861,0.8711144441307486
directed,random,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.5482142857142857,0.847913406038406
directed,random,label,random_color,gemini-pro-1.5,cot,0.8220924908424909,0.9567502666415708
directed,random,label,random_color,gemini-pro-1.5,zeroshot,0.8030219780219781,0.947754793515663
directed,random,label,random_color,gpt-4o-2024-08-06,cot,0.6890567765567767,0.9009428795841838
directed,random,label,random_color,gpt-4o-2024-08-06,zeroshot,0.7414835164835165,0.9222038197309935
directed,random,label,random_color,pixtral-12b,cot,0.5985805860805862,0.8523038103201145
directed,random,label,random_color,pixtral-12b,zeroshot,0.6839972527472528,0.8719096905509949
directed,random,label,random_color,llama-3.2-90b-vision-instruct,cot,0.6926968864468865,0.8342012908588996
directed,random,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5395833333333334,0.7954900775552949
directed,random,label,constant_color,claude-3.5-sonnet,cot,0.8723972922502334,0.9369112746022763
directed,random,label,constant_color,claude-3.5-sonnet,zeroshot,0.8728174603174604,0.9439372832411882
directed,random,label,constant_color,qwen-2-vl-72b-instruct,cot,0.7910539215686275,0.9047210492456674
directed,random,label,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.8604400093370682,0.9283389926428975
directed,random,label,constant_color,gemini-pro-1.5,cot,0.8522875816993463,0.9322319446258327
directed,random,label,constant_color,gemini-pro-1.5,zeroshot,0.855923202614379,0.9342299953080939
directed,random,label,constant_color,gpt-4o-2024-08-06,cot,0.7633695144724557,0.8949304436995439
directed,random,label,constant_color,gpt-4o-2024-08-06,zeroshot,0.7845588235294118,0.9028947126570216
directed,random,label,constant_color,pixtral-12b,cot,0.7419409430438842,0.8742447482090945
directed,random,label,constant_color,pixtral-12b,zeroshot,0.8446136788048554,0.9353967079264194
directed,random,label,constant_color,llama-3.2-90b-vision-instruct,cot,0.6782971521942109,0.8511528303803345
directed,random,label,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.6830590569561157,0.7884735342630079
directed,spectral,unlabel,random_color,claude-3.5-sonnet,cot,0.31930555555555556,0.7142251461988304
directed,spectral,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.3826388888888889,0.7421883635370476
directed,spectral,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.5159722222222223,0.7963990505108927
directed,spectral,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.4533333333333333,0.777150849881113
directed,spectral,unlabel,random_color,gemini-pro-1.5,cot,0.3804166666666667,0.718989219844483
directed,spectral,unlabel,random_color,gemini-pro-1.5,zeroshot,0.3609722222222222,0.7163576408971147
directed,spectral,unlabel,random_color,gpt-4o-2024-08-06,cot,0.49736111111111114,0.773009245871088
directed,spectral,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.5977777777777777,0.8235566078658184
directed,spectral,unlabel,random_color,pixtral-12b,cot,0.3040277777777778,0.7079298004626953
directed,spectral,unlabel,random_color,pixtral-12b,zeroshot,0.37333333333333335,0.7248964960478119
directed,spectral,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.3402777777777778,0.6712333718912666
directed,spectral,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.41638888888888886,0.7647864854443801
directed,spectral,unlabel,constant_color,claude-3.5-sonnet,cot,0.46871212121212125,0.7468306977194447
directed,spectral,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.4473647186147186,0.7418734327621797
directed,spectral,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.5590318015318015,0.7728660604811501
directed,spectral,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.4554358141858142,0.731219062977375
directed,spectral,unlabel,constant_color,gemini-pro-1.5,cot,0.5000774225774226,0.7572737932712357
directed,spectral,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.5271228771228771,0.7607231217205641
directed,spectral,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.6711842324342324,0.8452615166873478
directed,spectral,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.6187008824508824,0.8322600999455221
directed,spectral,unlabel,constant_color,pixtral-12b,cot,0.4363257575757576,0.7143376110959232
directed,spectral,unlabel,constant_color,pixtral-12b,zeroshot,0.47417207792207794,0.7330048752043636
directed,spectral,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.5629199966699966,0.8031848110684427
directed,spectral,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.5216491841491842,0.7819874612457732
directed,spectral,label,random_color,claude-3.5-sonnet,cot,0.5119444444444444,0.80193776106934
directed,spectral,label,random_color,claude-3.5-sonnet,zeroshot,0.5066666666666666,0.7985693400167084
directed,spectral,label,random_color,qwen-2-vl-72b-instruct,cot,0.5711111111111111,0.8242598162071847
directed,spectral,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.6773611111111111,0.8488696741854638
directed,spectral,label,random_color,gemini-pro-1.5,cot,0.6408333333333334,0.8514269005847954
directed,spectral,label,random_color,gemini-pro-1.5,zeroshot,0.6297222222222223,0.8511637426900585
directed,spectral,label,random_color,gpt-4o-2024-08-06,cot,0.6775,0.8780655806182123
directed,spectral,label,random_color,gpt-4o-2024-08-06,zeroshot,0.7225,0.8916370091896407
directed,spectral,label,random_color,pixtral-12b,cot,0.39499999999999996,0.7367485380116958
directed,spectral,label,random_color,pixtral-12b,zeroshot,0.5144444444444444,0.7967898913951545
directed,spectral,label,random_color,llama-3.2-90b-vision-instruct,cot,0.2879166666666667,0.6896215538847118
directed,spectral,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5162500000000001,0.7452848788638262
